城市,名称,星级,评分,价格,销量,省/市/区,坐标,简介,是否免费,具体地址
云南,珠江源,4A,4.6,25,78,云南·曲靖·沾益县,"103.957184,25.905147",天高云淡，尽享大自然的无限风光,FALSE,云南省曲靖市沾益县境内的马雄山麓
云南,昆明直通车,,0,99,78,云南·昆明,"102.668492,25.042577",为您的出行提供方便,FALSE,云南省昆明市
云南,印象丽江,,0,196,78,云南·丽江·玉龙雪山,"100.265002,27.103086",洗涤灵魂的演出盛宴,FALSE,云南省丽江市玉龙县玉龙雪山甘海子蓝月谷剧场
云南,云花谷,,0,15,76,云南·昆明·五华区,"102.699297,25.195885",项目以河谷内自然地貌为底色和骨架，打造云南首 个好看好玩的立体花园，让人们暂离城市的喧嚣，回归淳璞自然，享受高原蓝天花海,FALSE,昆明市五华区西翥街道三多大村
云南,西双版纳热带动物园,,0,39,76,云南·西双版纳·景洪市,"100.799386,22.002923",热带动植物，浓郁民族风，西双版纳的小缩影,FALSE,云南省西双版纳傣族自治州景洪市
云南,蓝月谷,5A,0,188,76,云南·丽江·玉龙雪山,"100.251243,27.131616",撒在玉龙雪山中的蓝宝石,FALSE,云南省丽江市玉龙纳西族自治县15公里处玉龙雪山国家级风景名胜区内
云南,蝴蝶泉,3A,4,32,70,云南·大理·大理市,"100.108928,25.913304",蝴蝶泉“三绝”：泉、蝶、树,FALSE,云南省大理白族自治州苍山云弄峰下
云南,云南寒武纪小镇欢乐大世界·海豚暂养馆（抚仙湖）,,0,98,70,云南·玉溪·澄江县,"102.966621,24.631911",云南寒武纪小镇欢乐大世界是由上海百汇星融投资控股有限公司打造的重点旅游度假项目，该项目位于云南抚仙湖东北岸，集澄江化石博,FALSE,云南玉溪市澄江市右所镇环湖北路9号
云南,大观楼,4A,4,20,70,云南·昆明·西山区,"102.680412,25.030081",百年宅倾世之赞，文脉之大观楼,FALSE,云南省昆明市西山区大观路72号
云南,昆明青龙峡,,0,35,70,云南·昆明·安宁市,"102.378741,25.068699",古藤缠绕，溪流吟唱，一片纯洁的净土,FALSE,云南省昆明安宁市青龙镇青龙峡风景区
云南,玉龙雪山索道,,0,368,70,云南·丽江·玉龙雪山,"100.25989,27.105602",先进的索道，体验更快捷更安全,FALSE,云南省丽江市玉龙纳西族自治县
云南,武定狮子山,4A,3.7,65,68,云南·楚雄·武定县,"102.385484,25.539995",自然风光秀甲滇中，是西南的一座奇山,FALSE,云南省楚雄彝族自治州武定县
云南,普洱国家公园犀牛坪,,0,118,64,云南·普洱·思茅区,"101.113741,22.597686",北回归线上稀有的生物资源宝库,FALSE,云南省普洱市思茅区东南38公里太阳河
云南,挖色镇,,0,108,62,云南·大理·洱海,"100.231859,25.829511",白族本土文化发源地之一,FALSE,云南省大理市洱海东岸
云南,腾冲北海湿地,3A,4.6,55,62,云南·保山·腾冲,"98.56517,25.126175",资源丰富的国家湿地保护区,FALSE,云南省保山市腾冲县北海村
云南,弥勒湖泉酒店半山温泉,,0,166,62,云南·红河·弥勒县,"103.410428,24.409664",水质清澈透明、轻滑柔顺,FALSE,云南红河弥勒湖泉酒店半山温泉中心售票处（E座旁边）
云南,观音峡,4A,3.5,190,58,云南·丽江·古城区,"100.276078,26.766885",秀丽峡谷风光，古朴纳西风情,FALSE,云南省丽江市东南17公里处的七河乡
云南,花之城,,0,18.9,56,云南·昆明·盘龙区,"102.795125,25.059343",云南之行，美之一站,FALSE,云南省昆明市盘龙区金瓦路8188号
内蒙古,响沙湾,5A,4.2,82,244,内蒙古·鄂尔多斯·达拉特旗,"109.968018,40.249002",跟随骆驼队，踏上一段神秘之旅,FALSE,内蒙古鄂尔多斯市达拉特旗响沙湾景区
内蒙古,大召寺,3A,4.5,34,232,内蒙古·呼和浩特·玉泉区,"111.660429,40.80594",霸气侧漏皇上住过地方果然不一样,FALSE,内蒙古呼和浩特市玉泉区大召前街大召寺
内蒙古,腾格里沙漠,,0,3,156,内蒙古·阿拉善盟·阿拉善左旗,"104.968104,37.600763",大漠浩瀚，苍凉雄浑，千里起伏连绵的沙丘,FALSE,内蒙古自治区阿拉善盟阿拉善左旗
内蒙古,希拉穆仁草原,,5,140,132,内蒙古·包头·达尔罕旗,"111.235959,41.329536",绿草如茵，鲜花遍地，景色使人如痴如醉,FALSE,内蒙古包头市达尔罕茂明安联合旗东南部
内蒙古,鄂尔多斯野生动物园,4A,0,120,90,内蒙古·鄂尔多斯·东胜区,"109.897155,39.845437",春天带孩子与小动物们亲密接触吧,FALSE,内蒙古鄂尔多斯东胜铁西区三园路1号
内蒙古,五当召,4A,3.9,54.9,62,内蒙古·包头·石拐区,"110.320996,40.797434",气势雄伟，富现堂皇，有小布达拉宫之称,FALSE,内蒙古省包头石拐区青五线五当沟
